,trip_id,scheduled_departure,transport_type,origin_station,destination_station,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,peak_hour
0,T00000,2023-01-01 05:00:00,Tram,Station_31,Station_6,3,Storm,0.09999999999999964,52.0,73.0,30.0,No Event,0
1,T00001,2023-01-01 05:15:00,Metro,Station_49,Station_32,4,Rain,30.0,64.0,11.0,18.4,No Event,0
2,T00002,2023-01-01 05:30:00,Bus,Station_29,Station_42,-12,Clear,29.5,35.0,31.0,1.0268361649830546,Sports,0
3,T00003,2023-01-01 05:45:00,Tram,Station_26,Station_18,0,Clear,27.4,55.0,41.0,5.532314960249793,No Event,0
4,T00004,2023-01-01 06:00:00,Tram,Station_18,Station_15,9,Snow,-10.9,84.0,30.0,27.5,No Event,0
5,T00005,2023-01-01 06:15:00,Metro,Station_32,Station_40,-6,Rain,22.2,44.0,21.0,16.3,Protest,0
6,T00006,2023-01-01 06:30:00,Bus,Station_22,Station_32,33,Storm,-3.4,61.0,35.0,22.4,Parade,0
7,T00007,2023-01-01 06:45:00,Bus,Station_38,Station_9,24,Clear,34.1,41.0,19.0,-2.5177631554446007,No Event,0
8,T00008,2023-01-01 07:00:00,Tram,Station_17,Station_37,10,Clear,-2.9,34.0,19.0,1.7395485928701087,Concert,0
9,T00009,2023-01-01 07:15:00,Train,Station_23,Station_10,-7,Fog,9.1,93.0,42.0,0.7392455599788388,No Event,0
10,T00010,2023-01-01 07:30:00,Tram,Station_24,Station_20,6,Snow,1.0999999999999996,49.0,7.0,11.0,No Event,0
11,T00011,2023-01-01 07:45:00,Tram,Station_50,Station_6,13,Cloudy,25.0,74.0,46.0,4.459045232845275,No Event,0
12,T00012,2023-01-01 08:00:00,Tram,Station_8,Station_48,1,Clear,25.6,64.0,33.0,4.640743360242616,Parade,1
13,T00013,2023-01-01 08:15:00,Tram,Station_41,Station_3,16,Storm,2.0,55.0,79.0,26.6,No Event,1
14,T00014,2023-01-01 08:30:00,Metro,Station_6,Station_42,5,Storm,13.600000000000001,52.0,51.0,25.2,No Event,1
15,T00015,2023-01-01 08:45:00,Bus,Station_5,Station_11,10,Fog,28.4,42.0,37.0,2.67247355959858,No Event,1
